Time UTC+0;Solar Carport [W];Solar Fixed installation [W]; SolarFlatroof [W];Solar Single panel [W];Solar Tracker [W];Solar Wall (south) [W];Solar Wall (west) [W];LUT Electricity Consumption [W];
2016-01-22 00:00:00;0.00;-1714.00;-4409.00;0.00;-218.00;958.00;3394.00;0;
2016-01-22 08:00:00;20.00;-1223.00;26064.00;544.00;57720.00;1524245.00;279174.00;0;
2016-01-22 16:00:00;0.00;-1721.00;-3266.00;0.00;-960.00;875.00;2397.00;0;
2016-01-23 00:00:00;0.00;-1673.00;-5713.00;29.00;-840.00;7322.00;7825.00;0;
2016-01-23 08:00:00;515.00;-916.00;-1932.00;779.00;1225.00;160258.00;142906.00;0;
2016-01-23 16:00:00;0.00;-1689.00;-3442.00;0.00;-480.00;1396.00;2024.00;0;
2016-01-24 00:00:00;0.00;-1665.00;-6553.00;11.00;-425.00;5653.00;6723.00;0;
2016-01-24 08:00:00;239.00;-1047.00;-4199.00;606.00;-618.00;129584.00;128735.00;0;
2016-01-24 16:00:00;0.00;-1668.00;-4325.00;0.00;-480.00;1823.00;2501.00;0;
2016-01-25 00:00:00;0.00;-1678.00;-6095.00;0.00;-460.00;2460.00;3644.00;0;
2016-01-25 08:00:00;66.00;-1289.00;-9081.00;364.00;-436.00;86213.00;87407.00;0;
2016-01-25 16:00:00;0.00;-1603.00;-4621.00;0.00;-480.00;2028.00;2606.00;0;
2016-01-26 00:00:00;0.00;-1612.00;-6364.00;0.00;-480.00;2702.00;3697.00;0;
2016-01-26 08:00:00;0.00;-1500.00;-11091.00;37.00;-314.00;67521.00;70667.00;0;
2016-01-26 16:00:00;0.00;-1628.00;-5352.00;0.00;-480.00;2171.00;3214.00;0;
2016-01-27 00:00:00;0.00;-1674.00;-7575.00;0.00;-191.00;3059.00;4522.00;0;
2016-01-27 08:00:00;0.00;-1360.00;-9302.00;1706.00;38980.00;88114.00;92178.00;0;
2016-01-27 16:00:00;0.00;-1699.00;-4699.00;0.00;-957.00;1974.00;2724.00;0;
2016-01-28 00:00:00;0.00;-1614.00;-6865.00;107.00;160.00;5778.00;6408.00;0;
2016-01-28 08:00:00;0.00;-883.00;-10892.00;1093.00;24068.00;52191.00;54545.00;0;
2016-01-28 16:00:00;0.00;-1695.00;-4144.00;0.00;-480.00;2332.00;1794.00;0;
2016-01-29 00:00:00;0.00;-1528.00;-5961.00;214.00;9389.00;30684.00;11913.00;0;
2016-01-29 08:00:00;237.00;-543.00;31340.00;3660.00;451605.00;1270554.00;382601.00;0;
2016-01-29 16:00:00;0.00;-1725.00;-5066.00;0.00;-816.00;2628.00;2449.00;0;
2016-01-30 00:00:00;0.00;-1399.00;-5632.00;309.00;14131.00;39660.00;13195.00;0;
2016-01-30 08:00:00;5092.00;-407.00;34242.00;6425.00;325896.00;1123593.00;293700.00;0;
2016-01-30 16:00:00;0.00;-1782.00;-6916.00;0.00;-479.00;4021.00;2912.00;0;
2016-01-31 00:00:00;104.00;-1452.00;-7831.00;162.00;1544.00;10205.00;9203.00;0;
2016-01-31 08:00:00;2851.00;-348.00;3378.00;1874.00;45484.00;107503.00;88659.00;0;
2016-01-31 16:00:00;0.00;-1699.00;-4483.00;0.00;-480.00;2375.00;2128.00;0;
2016-02-01 00:00:00;154.00;-1319.00;-4392.00;423.00;12421.00;49000.00;15154.00;0;
2016-02-01 08:00:00;18284.00;-106.00;94214.00;3039.00;655139.00;2074706.00;445264.00;0;
2016-02-01 16:00:00;0.00;-1818.00;-2604.00;0.00;-960.00;618.00;2025.00;0;
2016-02-02 00:00:00;0.00;-1681.00;-4988.00;0.00;-842.00;2233.00;4210.00;0;
2016-02-02 08:00:00;0.00;-564.00;-2331.00;1854.00;42036.00;122951.00;130622.00;0;
2016-02-02 16:00:00;0.00;-1852.00;-3043.00;0.00;-1017.00;975.00;2072.00;0;
2016-02-03 00:00:00;0.00;-1539.00;-4752.00;353.00;1927.00;24690.00;15517.00;0;
2016-02-03 08:00:00;3.00;-485.00;8147.00;5154.00;55276.00;340787.00;216204.00;0;
2016-02-03 16:00:00;0.00;-1679.00;-6913.00;0.00;-1413.00;3567.00;3349.00;0;
2016-02-04 00:00:00;0.00;-1482.00;-8587.00;240.00;460.00;13607.00;13747.00;0;
