Time UTC+0;Solar Carport [W];Solar Fixed installation [W]; SolarFlatroof [W];Solar Single panel [W];Solar Tracker [W];Solar Wall (south) [W];Solar Wall (west) [W];LUT Electricity Consumption [W];
2017-01-01 00:00:00;599.16;-755.81;197.16;5.27;-669.01;2880.02;3546.03;200544000;
2017-01-01 08:00:00;301620.80;5545.20;174777.22;845.23;15182.19;60365.32;24071.16;200724000;
2017-01-01 16:00:00;0.00;-844.87;0.00;0.00;-587.05;2784.29;1431.95;204468000;
2017-01-02 00:00:00;149.81;-768.82;80.14;5.38;-529.97;3213.03;2400.75;290076000;
2017-01-02 08:00:00;117989.90;643.75;70210.10;857.45;23177.40;133764.69;64100.98;373008000;
2017-01-02 16:00:00;0.00;-854.39;0.00;0.00;-749.12;2150.99;2750.09;242784000;
2017-01-03 00:00:00;120.45;-788.70;61.70;13.62;-719.20;2842.74;3429.11;317784000;
2017-01-03 08:00:00;199461.74;3384.34;138104.67;1543.48;113464.06;341462.47;8763.35;395436000;
2017-01-03 16:00:00;0.00;-851.55;0.00;0.00;-606.20;1589.34;1025.85;246984000;
2017-01-04 00:00:00;3.59;-803.04;0.00;0.44;-567.47;5892.83;2105.29;276084000;
2017-01-04 08:00:00;2388.08;-335.55;13292.43;250.38;193861.66;645083.44;6207.57;419028000;
2017-01-04 16:00:00;0.00;-844.70;0.00;0.00;-450.27;1224.31;757.02;274992000;
2017-01-05 00:00:00;4.57;-794.51;0.00;13.16;-491.83;3852.65;1844.88;314928000;
2017-01-05 08:00:00;3765.09;-345.32;14416.67;550.40;194108.96;640553.91;6323.30;411840000;
2017-01-05 16:00:00;0.00;-846.16;0.00;0.00;-908.98;3207.97;980.66;285156000;
2017-01-06 00:00:00;0.00;-807.83;0.00;10.28;-853.77;5619.80;1915.65;276936000;
2017-01-06 08:00:00;1529.35;-327.20;16008.45;436.37;215274.36;682242.78;6508.23;306888000;
2017-01-06 16:00:00;0.00;-846.96;0.00;0.00;-896.59;938.25;886.14;268200000;
2017-01-07 00:00:00;0.00;-815.30;0.00;-1.89;-792.82;1501.14;2061.51;256272000;
2017-01-07 08:00:00;3283.95;-397.05;2114.12;155.24;10365.20;43736.46;6558.85;272304000;
2017-01-07 16:00:00;0.00;-847.73;0.00;0.00;-907.30;1544.86;1416.47;263700000;
2017-01-08 00:00:00;0.00;-819.93;0.00;0.00;-817.99;2242.79;2564.77;242736000;
2017-01-08 08:00:00;344.39;-346.23;1004.02;6.36;3752.26;36998.83;6953.22;245796000;
2017-01-08 16:00:00;0.00;-841.51;0.00;0.00;-882.60;1771.08;1635.63;246252000;
2017-01-09 00:00:00;0.00;-805.94;0.00;0.00;-806.19;2304.97;2641.55;313188000;
2017-01-09 08:00:00;562.56;-349.23;635.68;11.34;951.15;45722.78;6987.66;461856000;
