Time UTC+0;Solar Carport [W];Solar Fixed installation [W]; SolarFlatroof [W];Solar Single panel [W];Solar Tracker [W];Solar Wall (south) [W];Solar Wall (west) [W];LUT Electricity Consumption [W];
2017-01-01 00:00:00;599;-755;197;5;-669;2880;3546;200544000;
2017-01-01 08:00:00;301620;5545;174777;845;15182;60365;24071;200724000;
2017-01-01 16:00:00;0;-844;0;0;-587;2784;1431;204468000;
2017-01-02 00:00:00;149;-768;80;5;-529;3213;2400;290076000;
2017-01-02 08:00:00;117989;643;70210;857;23177;133764;64100;373008000;
2017-01-02 16:00:00;0;-854;0;0;-749;2150;2750;242784000;
2017-01-03 00:00:00;120;-788;61;13;-719;2842;3429;317784000;
2017-01-03 08:00:00;199461;3384;138104;1543;113464;341462;8763;395436000;
2017-01-03 16:00:00;0;-851;0;0;-606;1589;1025;246984000;
2017-01-04 00:00:00;3;-803;0;0;-567;5892;2105;276084000;
2017-01-04 08:00:00;2388;-335;13292;250;193861;645083;6207;419028000;
2017-01-04 16:00:00;0;-844;0;0;-450;1224;757;274992000;
2017-01-05 00:00:00;4;-794;0;13;-491;3852;1844;314928000;
2017-01-05 08:00:00;3765;-345;14416;550;194108;640553;6323;411840000;
2017-01-05 16:00:00;0;-846;0;0;-908;3207;980;285156000;
2017-01-06 00:00:00;0;-807;0;10;-853;5619;1915;276936000;
2017-01-06 08:00:00;1529;-327;16008;436;215274;682242;6508;306888000;
2017-01-06 16:00:00;0;-846;0;0;-896;938;886;268200000;
2017-01-07 00:00:00;0;-815;0;-1;-792;1501;2061;256272000;
2017-01-07 08:00:00;3283;-397;2114;155;10365;43736;6558;272304000;
2017-01-07 16:00:00;0;-847;0;0;-907;1544;1416;263700000;
2017-01-08 00:00:00;0;-819;0;0;-817;2242;2564;242736000;
2017-01-08 08:00:00;344;-346;1004;6;3752;36998;6953;245796000;
2017-01-08 16:00:00;0;-841;0;0;-882;1771;1635;246252000;
2017-01-09 00:00:00;0;-805;0;0;-806;2304;2641;313188000;
2017-01-09 08:00:00;562;-349;635;11;951;45722;6987;461856000;
2017-01-09 16:00:00;0;-833;0;0;-884;1850;1695;289128000;
2017-01-10 00:00:00;0;-749;0;0;-797;2429;2751;331128000;
2017-01-10 08:00:00;6320;2177;48226;561;2442;9759;7274;466776000;
2017-01-10 16:00:00;0;-854;0;0;-901;2345;2147;280344000;
2017-01-11 00:00:00;12;-769;90;1;-805;2535;2606;337116000;
2017-01-11 08:00:00;2676;-1095;15745;155;-986;3952;6600;476748000;
2017-01-11 16:00:00;0;-1171;0;0;-892;2268;1752;301752000;
2017-01-12 00:00:00;254;-1139;2530;25;-894;2751;2830;336540000;
2017-01-12 08:00:00;33807;853;78426;466;2919;4688;6951;474864000;
2017-01-12 16:00:00;0;-850;0;0;-891;1900;2014;314472000;
2017-01-13 00:00:00;0;-780;0;0;-811;2122;2635;338796000;
2017-01-13 08:00:00;62;-355;453;-2;-624;25147;7196;431928000;
2017-01-13 16:00:00;0;-831;0;0;-866;1937;1817;264792000;
2017-01-14 00:00:00;0;-788;0;0;-829;2517;2818;235320000;
2017-01-14 08:00:00;960;-804;995;20;12632;45722;7792;252060000;
2017-01-14 16:00:00;0;-1152;0;0;-583;1650;2021;235632000;
2017-01-15 00:00:00;0;-1103;0;0;-514;2188;3011;230664000;
2017-01-15 08:00:00;593;-459;826;7;8383;37541;7948;234648000;
2017-01-15 16:00:00;0;-830;0;0;-732;2048;1976;241392000;
2017-01-16 00:00:00;0;-774;0;0;-776;2637;2971;307644000;
2017-01-16 08:00:00;479;-641;861;10;7679;44118;7487;468972000;
2017-01-16 16:00:00;0;-1153;0;0;-448;2184;1696;281904000;
2017-01-17 00:00:00;0;-1106;0;0;-417;6641;2924;324048000;
2017-01-17 08:00:00;0;-641;2;0;-182;48737;7285;463248000;
2017-01-17 16:00:00;0;-1148;0;0;-431;1912;1949;278280000;
2017-01-18 00:00:00;0;-1141;0;0;-420;2646;3327;376536000;
2017-01-18 08:00:00;0;-717;0;0;-333;36608;7412;494400000;
2017-01-18 16:00:00;0;-1152;0;0;-742;2032;2242;287676000;
2017-01-19 00:00:00;0;-1017;0;7;-274;3745;3108;322440000;
2017-01-19 08:00:00;3677;20554;7921;2227;43663;160567;7994;461652000;
2017-01-19 16:00:00;0;-873;0;0;-900;2497;2244;286512000;
2017-01-20 00:00:00;103;728;283;190;10134;11466;3354;310992000;
2017-01-20 08:00:00;19653;32742;104090;3470;354282;1279679;8043;407736000;
2017-01-20 16:00:00;0;-858;0;0;-888;3090;2027;263556000;
2017-01-21 00:00:00;136;792;196;189;10111;18536;3394;235032000;
2017-01-21 08:00:00;10664;17800;86359;2156;312503;1185221;8294;250884000;
2017-01-21 16:00:00;0;-1186;0;0;-896;2193;2021;245916000;
2017-01-22 00:00:00;38;-972;117;52;-490;6790;3509;223860000;
2017-01-22 08:00:00;1998;6940;6930;1233;24569;53713;7923;230604000;
2017-01-22 16:00:00;0;-848;0;0;-439;2293;2230;233772000;
2017-01-23 00:00:00;0;-766;21;37;-371;2813;3329;296784000;
2017-01-23 08:00:00;1019;4396;18166;815;8143;17154;7987;430644000;
2017-01-23 16:00:00;0;-1176;0;0;-455;2366;2165;248340000;
2017-01-24 00:00:00;0;-1172;75;38;-490;3424;3619;287976000;
2017-01-24 08:00:00;10969;17480;90921;1877;52565;295007;7736;436464000;
2017-01-24 16:00:00;0;-862;0;0;-749;2153;1782;256104000;
2017-01-25 00:00:00;12;-747;309;93;-73;15163;3106;288828000;
2017-01-25 08:00:00;7165;13348;67908;1399;31252;141364;7600;449940000;
2017-01-25 16:00:00;0;-130;0;0;-126;408;685;210600000;
2017-01-26 00:00:00;0;-622;0;10;-683;2570;4534;238920000;
2017-01-26 08:00:00;5046;12392;83187;1348;19431;35203;53174;345876000;
2017-01-26 16:00:00;0;-997;0;0;-873;2042;2003;204576000;
2017-01-27 00:00:00;4398;1628;36561;265;2595;8991;7711;232140000;
2017-01-27 08:00:00;157479;46833;568632;3699;64626;119947;115180;315600000;
2017-01-27 16:00:00;0;-1154;0;0;-423;1423;2078;194760000;
2017-01-28 00:00:00;2391;284;31572;196;1856;4306;6046;175596000;
2017-01-28 08:00:00;159720;43521;604852;3454;62229;91566;109583;188100000;
2017-01-28 16:00:00;0;-993;0;0;-585;2363;2611;178056000;
2017-01-29 00:00:00;267;-647;11990;76;41;3055;4485;173280000;
2017-01-29 08:00:00;24990;10381;236436;1201;18505;22308;34828;176244000;
2017-01-29 16:00:00;0;-1015;0;0;-588;2429;2153;178128000;
2017-01-30 00:00:00;0;-956;0;0;-515;3714;4156;232656000;
2017-01-30 08:00:00;176;-452;151;-11;-259;88048;98460;341160000;
2017-01-30 16:00:00;0;-1012;0;0;-595;1584;1352;194700000;
2017-01-31 00:00:00;0;-954;0;0;-12;7809;8575;230832000;
2017-01-31 08:00:00;147;-397;0;0;26329;105501;119360;334008000;
2017-01-31 16:00:00;0;-1007;0;0;-594;2316;2816;167412000;
2017-02-01 00:00:00;1;-913;0;0;1439;8138;9487;192240000;
2017-02-01 08:00:00;93;-394;9;0;21262;93599;105776;296772000;
2017-02-01 16:00:00;0;-999;0;0;-888;1925;2282;163884000;
2017-02-02 00:00:00;0;-952;0;0;99;5531;6698;193476000;
2017-02-02 08:00:00;105;-422;49;0;20012;91995;102631;313032000;
2017-02-02 16:00:00;0;-995;0;0;-889;1559;1833;182892000;
2017-02-03 00:00:00;0;-973;0;0;-878;2031;3075;208752000;
2017-02-03 08:00:00;1;-605;0;0;4445;46746;52692;289800000;
2017-02-03 16:00:00;0;-987;0;0;-622;1674;1114;160104000;
2017-02-04 00:00:00;0;-972;0;0;-642;3753;4223;131388000;
2017-02-04 08:00:00;212;-528;207;4;11355;76778;92013;97920000;
2017-02-04 16:00:00;0;-991;0;0;-874;2144;2651;91092000;
2017-02-05 00:00:00;0;-984;0;0;-765;4621;6264;86544000;
2017-02-05 08:00:00;0;-747;0;0;-608;123958;131594;88680000;
2017-02-05 16:00:00;0;-988;0;0;-872;1574;1316;89760000;
2017-02-06 00:00:00;0;-944;0;0;-471;38269;26222;111768000;
2017-02-06 08:00:00;181;-605;401;4;157975;1197439;711798;158304000;
2017-02-06 16:00:00;0;-984;0;0;-883;3159;1343;99444000;
2017-02-07 00:00:00;0;-963;0;0;10302;110642;21432;111516000;
2017-02-07 08:00:00;396;-591;621;1225;338741;2474944;708254;155412000;
2017-02-07 16:00:00;0;-981;0;0;-732;4240;1829;93516000;
2017-02-08 00:00:00;0;-946;0;128;10218;62591;25490;102408000;
2017-02-08 08:00:00;727;-580;886;1815;675776;2181840;768041;150012000;
2017-02-08 16:00:00;0;-976;0;0;-431;1173;1371;89604000;
2017-02-09 00:00:00;0;-928;0;136;5439;43347;27496;100188000;
2017-02-09 08:00:00;788;-470;811;2047;666329;1918940;818324;147516000;
2017-02-09 16:00:00;0;-974;0;0;-877;619;975;89424000;
2017-02-10 00:00:00;0;-935;0;93;4341;24086;23679;99336000;
2017-02-10 08:00:00;1162;-523;751;1403;861878;2740311;792516;137856000;
2017-02-10 16:00:00;0;-969;0;0;-1128;2786;1867;88404000;
2017-02-11 00:00:00;0;-925;0;81;57357;122812;30758;76512000;
2017-02-11 08:00:00;1945;-414;1702;1650;778009;2752239;559335;94236000;
2017-02-11 16:00:00;0;-980;0;0;-1478;712;2101;80616000;
2017-02-12 00:00:00;0;-942;0;52;3395;16097;18951;72276000;
2017-02-12 08:00:00;0;-586;0;609;74701;154583;175367;77496000;
2017-02-12 16:00:00;0;-974;0;0;-1483;1190;1443;80160000;
2017-02-13 00:00:00;10;-892;0;102;40620;93686;36319;98424000;
2017-02-13 08:00:00;3800;-302;4258;6094;926591;2542391;808398;149304000;
2017-02-13 16:00:00;0;-985;0;0;-1495;1025;1554;89412000;
2017-02-14 00:00:00;54;-706;1167;993;80699;143509;40766;101064000;
2017-02-14 08:00:00;46960;16749;458747;10666;1050877;2717179;948353;151680000;
2017-02-14 16:00:00;0;-676;0;0;-1314;1434;1655;88380000;
2017-02-15 00:00:00;3720;1272;32010;757;105451;169889;31957;105348000;
2017-02-15 08:00:00;128397;27521;1098830;10122;1053026;3030194;895305;157260000;
2017-02-15 16:00:00;0;-997;0;0;-1484;1361;2045;87552000;
2017-02-16 00:00:00;9;-725;6166;156;177;9339;10606;105396000;
2017-02-16 08:00:00;2930;9211;138475;2104;61388;133475;163247;155460000;
2017-02-16 16:00:00;0;-1003;0;0;-947;1221;2276;89700000;
2017-02-17 00:00:00;38;-930;754;85;7420;63250;54032;100656000;
2017-02-17 08:00:00;576;-474;27331;5359;112941;292593;311073;145896000;
2017-02-17 16:00:00;0;-997;0;0;-1496;645;2133;87972000;
2017-02-18 00:00:00;98;663;17518;1464;30105;76865;55492;78348000;
2017-02-18 08:00:00;7876;11013;129724;6587;215278;662918;265941;93792000;
2017-02-18 16:00:00;0;-682;0;0;-962;667;2134;79728000;
2017-02-19 00:00:00;0;-625;0;232;-793;25163;30504;75240000;
2017-02-19 08:00:00;0;-342;0;3477;58001;217618;244728;80424000;
2017-02-19 16:00:00;0;-668;0;0;-958;825;2495;79944000;
2017-02-20 00:00:00;0;-518;3;487;7941;17334;20835;102096000;
2017-02-20 08:00:00;171;-588;2088;6877;149203;292807;306441;155916000;
2017-02-20 16:00:00;0;-667;0;0;-1324;526;1732;90012000;
2017-02-21 00:00:00;127;-659;285;1591;94740;161758;51546;104076000;
2017-02-21 08:00:00;3321;520;20873;12799;319021;868819;507165;153360000;
2017-02-21 16:00:00;0;-995;0;0;-1497;4254;1992;90708000;
2017-02-22 00:00:00;22;-942;271;1800;48179;102557;59784;103944000;
2017-02-22 08:00:00;347;-310;7720;9944;218323;485968;455084;155532000;
2017-02-22 16:00:00;0;-671;0;0;-1138;2549;976;90324000;
2017-02-23 00:00:00;17;-648;191;116;23808;76340;50688;104784000;
2017-02-23 08:00:00;105;-424;4534;1167;129493;422154;402675;151776000;
2017-02-23 16:00:00;0;-1102;0;0;-963;2979;1778;89040000;
2017-02-24 00:00:00;0;-883;0;22;-794;60174;60044;101772000;
2017-02-24 08:00:00;849;-629;9017;2775;347680;2870609;1446426;141108000;
2017-02-24 16:00:00;0;-1048;0;0;-971;2855;2418;88632000;
2017-02-25 00:00:00;9;-858;14;142;99399;226924;69999;77772000;
2017-02-25 08:00:00;413;-639;2343;2938;742703;2369101;965935;87240000;
2017-02-25 16:00:00;0;-989;0;0;-955;4062;2195;83928000;
2017-02-26 00:00:00;29;-841;29;126;195371;394948;73142;75048000;
2017-02-26 08:00:00;91;-396;1098;1726;406551;1319642;562146;78108000;
2017-02-26 16:00:00;0;-981;0;0;-1489;3541;2826;80832000;
2017-02-27 00:00:00;7;-766;59;303;120718;293976;88529;100524000;
2017-02-27 08:00:00;879;-676;7929;4798;842234;2591187;896582;143304000;
2017-02-27 16:00:00;0;-663;0;0;-1148;4095;2756;90576000;
2017-02-28 00:00:00;0;-666;0;88;13014;32902;34276;99648000;
2017-02-28 08:00:00;0;-157;276;4639;143808;282393;303249;141312000;
2017-02-28 16:00:00;0;-754;0;0;-937;4177;2668;86628000;
2017-03-01 00:00:00;31;2098;571;1169;23344;42859;50559;97836000;
2017-03-01 08:00:00;14040;103831;110684;10219;222195;449452;474372;139056000;
2017-03-01 16:00:00;0;-719;0;0;-1339;4278;2934;86940000;
2017-03-02 00:00:00;1204;4950;11703;560;7897;17926;22175;99720000;
2017-03-02 08:00:00;60408;77188;277034;5166;117908;179200;217823;138600000;
2017-03-02 16:00:00;0;-1022;0;0;-1325;4433;2604;86604000;
2017-03-03 00:00:00;26459;25398;151693;1840;33560;67760;65816;95544000;
2017-03-03 08:00:00;311032;239291;1641010;17404;403603;1001637;552462;130104000;
2017-03-03 16:00:00;0;-712;0;0;-1504;2017;2022;86724000;
2017-03-04 00:00:00;601;-83;15033;193;-330;65389;77561;76092000;
2017-03-04 08:00:00;23717;11642;235087;2579;226896;1182744;1235327;85140000;
2017-03-04 16:00:00;0;-1042;0;0;-1506;4118;2182;81096000;
2017-03-05 00:00:00;24181;3996;28473;313;314457;599870;78190;75000000;
2017-03-05 08:00:00;288348;144084;1008074;33719;1561290;4326412;1856349;75228000;
2017-03-05 16:00:00;0;-695;0;0;-1308;2434;2120;79044000;
2017-03-06 00:00:00;134611;44130;165040;2520;341362;610812;77547;102528000;
2017-03-06 08:00:00;669194;482726;2742982;51267;1628119;4389446;1882999;150960000;
2017-03-06 16:00:00;0;-1007;0;0;-1457;3080;2086;90504000;
2017-03-07 00:00:00;146601;53226;335389;3121;320839;552493;87366;103632000;
2017-03-07 08:00:00;466351;368276;2262605;20973;689765;1791642;677007;154860000;
2017-03-07 16:00:00;0;-777;0;0;-1128;2611;1645;91164000;
2017-03-08 00:00:00;17487;12366;132199;1113;23442;37913;54366;103344000;
2017-03-08 08:00:00;81800;68925;688902;4859;104579;150321;216708;154680000;
2017-03-08 16:00:00;0;-1031;0;0;-1494;2574;2246;90504000;
2017-03-09 00:00:00;9514;16048;83207;1634;34255;73783;69895;103728000;
2017-03-09 08:00:00;340593;284211;2053156;17973;421575;961003;532506;152976000;
2017-03-09 16:00:00;0;-1031;0;0;-969;4219;1261;88392000;
2017-03-10 00:00:00;109974;58019;433298;3700;180447;360306;74486;98844000;
2017-03-10 08:00:00;657763;470355;4040866;31054;873627;2161444;1215956;140448000;
2017-03-10 16:00:00;0;-678;13;0;-1443;4610;2215;87000000;
2017-03-11 00:00:00;53469;33893;428923;2201;47116;77935;76944;74868000;
2017-03-11 08:00:00;1270676;590303;7045238;53356;1446071;3796185;2041713;85080000;
2017-03-11 16:00:00;0;-676;1;0;-1269;3911;2152;79548000;
2017-03-12 00:00:00;553217;96175;696757;3674;465319;767902;83994;73728000;
2017-03-12 08:00:00;3827940;740571;7860733;50745;1377433;3650064;1335166;74952000;
2017-03-12 16:00:00;0;-672;13;-1;-1256;3392;2132;77832000;
2017-03-13 00:00:00;350294;32450;523518;2238;46242;75048;85108;100044000;
2017-03-13 08:00:00;5247359;414380;6403287;38528;1009689;2629511;1828335;144600000;
2017-03-13 16:00:00;44;-818;131;0;-948;3023;2715;86484000;
2017-03-14 00:00:00;1994001;125786;1132801;7079;311293;644019;137201;100080000;
2017-03-14 08:00:00;3522889;266382;2839427;14790;409198;836537;406002;149136000;
2017-03-14 16:00:00;0;-1019;0;0;-1476;3791;2217;92016000;
2017-03-15 00:00:00;12532;2704;11995;684;30622;59193;70091;101808000;
2017-03-15 08:00:00;1949828;219140;2673028;18061;489943;1023662;1074912;152496000;
2017-03-15 16:00:00;1183;-1161;1320;7;-1485;4050;2598;87768000;
2017-03-16 00:00:00;2484327;117793;860422;7664;490715;834331;83443;100680000;
2017-03-16 08:00:00;10853708;769475;9468594;64422;1692381;4492984;2199194;138840000;
2017-03-16 16:00:00;29;-701;42;0;-916;3958;2873;87876000;
